                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.77873,                0.41925,                0.86373,                0.91069,                0.71387,                0.83706,                0.62512,                0.71666,                0.36426,                0.84164,               0.000307,               0.000307,               0.000307
                     37,                0.77413,                0.41715,                0.86178,                0.90491,                0.72335,                0.84153,                 0.6283,                0.71304,                0.36203,                0.84117,              0.0002872,              0.0002872,              0.0002872
                     38,                0.77065,                0.41514,                0.85768,                0.89816,                0.72454,                0.83566,                0.62874,                0.71749,                0.36478,                0.84164,              0.0002674,              0.0002674,              0.0002674
                     39,                0.78112,                0.41881,                0.86078,                0.90043,                0.72342,                0.83853,                0.62968,                0.70563,                0.36125,                0.83998,              0.0002476,              0.0002476,              0.0002476
                     40,                0.76536,                 0.4104,                0.85675,                0.89965,                0.72519,                0.84001,                0.63188,                0.70782,                0.36032,                0.84027,              0.0002278,              0.0002278,              0.0002278
                     41,                0.79053,                0.41409,                0.85648,                0.85601,                0.72794,                0.83152,                0.61942,                0.72713,                0.37113,                0.84341,               0.000208,               0.000208,               0.000208
                     42,                0.75702,                0.39058,                0.84605,                0.85926,                0.72696,                0.82956,                0.61928,                0.73141,                0.37498,                0.84394,              0.0001882,              0.0001882,              0.0001882
                     43,                0.75853,                0.39199,                0.85071,                 0.8868,                0.71486,                0.83244,                0.62272,                0.72573,                0.37231,                0.84349,              0.0001684,              0.0001684,              0.0001684
                     44,                0.74308,                0.37934,                0.84506,                0.87192,                0.72925,                0.83345,                0.62348,                0.72461,                0.36965,                0.84314,              0.0001486,              0.0001486,              0.0001486
                     45,                0.74804,                0.38525,                0.84761,                0.86871,                0.73847,                0.83742,                0.62781,                0.71978,                0.36735,                0.84357,              0.0001288,              0.0001288,              0.0001288
                     46,                0.74342,                0.38128,                0.84468,                0.86473,                 0.7351,                0.83473,                0.62811,                0.71628,                0.36617,                0.84194,               0.000109,               0.000109,               0.000109
                     47,                0.74626,                0.38332,                0.84584,                0.88651,                0.71784,                0.83328,                0.62727,                0.71542,                0.36546,                0.84237,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                0.74248,                0.38005,                0.84849,                0.88789,                0.71921,                0.83499,                0.62787,                0.71186,                0.36464,                0.84162,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                0.73593,                0.37666,                0.84374,                0.89109,                0.72179,                0.83599,                 0.6289,                0.71105,                0.36354,                0.84128,               4.96e-05,               4.96e-05,               4.96e-05
                     50,                0.73542,                0.37479,                0.84216,                 0.8891,                0.72096,                0.83534,                  0.629,                0.70906,                0.36212,                0.84096,               2.98e-05,               2.98e-05,               2.98e-05
