                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.72645,                0.39302,                0.88989,                0.89881,                0.73222,                0.84224,                0.59725,                0.93341,                0.45753,                0.99672,              0.0082675,              0.0082675,              0.0082675
                     37,                0.71586,                0.39166,                0.88798,                0.88994,                0.73025,                0.84241,                0.59595,                0.91725,                 0.4621,                0.99431,               0.008218,               0.008218,               0.008218
                     38,                0.70874,                0.39148,                0.88932,                0.86152,                0.75436,                0.84336,                 0.5995,                0.91534,                0.45092,                0.99612,              0.0081685,              0.0081685,              0.0081685
                     39,                 0.7129,                 0.3882,                0.88401,                 0.8856,                0.73467,                0.84523,                0.59506,                 0.9077,                0.45018,                0.98957,               0.008119,               0.008119,               0.008119
                     40,                0.70346,                0.38554,                0.88278,                0.87652,                 0.7404,                0.84805,                 0.5868,                0.91034,                0.45653,                 0.9945,              0.0080695,              0.0080695,              0.0080695
                     41,                0.69331,                0.37992,                0.88274,                0.87976,                0.74075,                0.84312,                0.59479,                0.90997,                0.45065,                0.99088,                0.00802,                0.00802,                0.00802
                     42,                0.69864,                0.38258,                0.88273,                0.88707,                0.73487,                0.84557,                0.59843,                0.90503,                0.45006,                0.98324,              0.0079705,              0.0079705,              0.0079705
                     43,                0.69414,                0.37901,                0.88245,                0.87467,                0.73391,                 0.8476,                0.60507,                0.89299,                0.44264,                0.98101,               0.007921,               0.007921,               0.007921
                     44,                0.68462,                0.37991,                0.88229,                0.88684,                0.75067,                 0.8482,                0.60587,                0.89912,                0.43765,                0.98489,              0.0078715,              0.0078715,              0.0078715
                     45,                0.68486,                0.37063,                 0.8788,                0.88579,                0.75296,                  0.854,                0.60977,                0.89122,                0.43938,                0.98157,               0.007822,               0.007822,               0.007822
                     46,                0.68793,                0.37415,                0.87903,                 0.8847,                0.75768,                0.85794,                0.60764,                0.90115,                0.44059,                 0.9852,              0.0077725,              0.0077725,              0.0077725
                     47,                0.67863,                0.37227,                 0.8756,                0.90622,                0.74217,                0.84867,                0.60858,                0.89081,                0.43861,                0.97818,               0.007723,               0.007723,               0.007723
                     48,                0.66959,                0.36372,                0.87346,                0.90595,                 0.7564,                0.85688,                0.60968,                0.90151,                0.43358,                0.98732,              0.0076735,              0.0076735,              0.0076735
                     49,                0.66864,                0.36854,                0.87621,                0.89799,                0.74235,                 0.8546,                 0.6044,                0.89547,                0.43617,                0.98064,               0.007624,               0.007624,               0.007624
                     50,                0.67489,                0.36748,                0.87419,                0.87727,                0.74957,                0.85052,                0.60371,                0.88589,                0.43441,                0.97729,              0.0075745,              0.0075745,              0.0075745
                     51,                 0.6608,                0.36104,                0.87015,                0.86469,                 0.7561,                0.85189,                0.60598,                0.88287,                0.42725,                0.97684,               0.007525,               0.007525,               0.007525
                     52,                0.65811,                0.36392,                0.87427,                0.88568,                0.75811,                0.85259,                0.61611,                0.88809,                0.42924,                0.98056,              0.0074755,              0.0074755,              0.0074755
                     53,                0.65399,                0.36113,                0.87104,                0.86817,                0.77884,                0.85928,                0.60668,                0.89291,                0.42931,                0.98552,               0.007426,               0.007426,               0.007426
                     54,                0.65132,                0.35542,                0.87173,                0.88359,                0.77019,                0.86126,                0.61502,                0.88625,                0.42505,                0.97646,              0.0073765,              0.0073765,              0.0073765
                     55,                0.65118,                0.35206,                0.86902,                0.90604,                0.74199,                0.86023,                0.60866,                0.88546,                0.42869,                0.97176,               0.007327,               0.007327,               0.007327
                     56,                0.65218,                0.35557,                0.86968,                0.89755,                0.76324,                 0.8601,                 0.6199,                0.87689,                0.41809,                0.96961,              0.0072775,              0.0072775,              0.0072775
                     57,                0.64697,                0.35091,                0.86941,                0.87717,                0.77221,                 0.8604,                0.61747,                0.87002,                0.41765,                0.97043,               0.007228,               0.007228,               0.007228
                     58,                0.63846,                0.35246,                0.86619,                0.90417,                0.75124,                0.86012,                0.61614,                0.86252,                0.41862,                0.96404,              0.0071785,              0.0071785,              0.0071785
                     59,                0.63321,                0.34407,                0.86321,                0.87813,                0.75901,                0.85254,                0.61389,                0.88019,                0.42367,                0.96755,               0.007129,               0.007129,               0.007129
                     60,                0.64065,                0.35422,                0.86693,                0.90503,                0.75389,                0.85471,                0.62286,                0.87549,                0.41044,                0.97139,              0.0070795,              0.0070795,              0.0070795
                     61,                0.63227,                0.34747,                0.86398,                0.90024,                0.75365,                0.85945,                0.62158,                0.86562,                0.41336,                0.96668,                0.00703,                0.00703,                0.00703
                     62,                0.63513,                0.34687,                0.86602,                0.88886,                0.76606,                0.86559,                0.61641,                 0.8677,                 0.4114,                0.96078,              0.0069805,              0.0069805,              0.0069805
                     63,                0.63095,                0.34677,                0.86398,                0.89406,                0.76517,                0.86228,                0.62174,                0.86614,                0.41586,                0.95883,               0.006931,               0.006931,               0.006931
                     64,                0.62299,                0.33954,                0.86226,                 0.9105,                0.74168,                0.85512,                0.62939,                0.84711,                0.40254,                0.95907,              0.0068815,              0.0068815,              0.0068815
                     65,                0.62892,                0.34305,                0.86285,                0.87844,                0.76099,                0.85452,                0.62119,                0.85805,                0.40166,                0.95951,               0.006832,               0.006832,               0.006832
                     66,                0.62716,                0.34211,                0.86108,                 0.9016,                0.75892,                0.86118,                 0.6175,                0.85183,                 0.4058,                0.95619,              0.0067825,              0.0067825,              0.0067825
                     67,                0.61119,                 0.3355,                 0.8599,                0.89794,                0.76236,                0.86263,                0.62635,                0.85297,                0.40674,                0.95587,               0.006733,               0.006733,               0.006733
                     68,                0.61124,                0.33574,                0.85961,                0.88832,                0.78072,                0.86738,                0.62646,                0.84574,                0.40618,                  0.952,              0.0066835,              0.0066835,              0.0066835
                     69,                0.61172,                0.33579,                0.86089,                  0.891,                0.77675,                0.86546,                0.63529,                0.83712,                0.39785,                0.95155,               0.006634,               0.006634,               0.006634
                     70,                0.60549,                0.33367,                0.85813,                0.89964,                0.76396,                0.86374,                0.62392,                0.85229,                0.40852,                0.95498,              0.0065845,              0.0065845,              0.0065845
                     71,                0.60983,                0.33338,                0.85954,                0.89131,                0.77977,                0.86785,                0.62407,                0.86175,                0.40825,                0.95776,               0.006535,               0.006535,               0.006535
                     72,                0.60514,                0.33296,                0.85734,                0.87255,                0.78365,                0.86595,                0.62891,                0.84803,                0.40402,                0.94946,              0.0064855,              0.0064855,              0.0064855
                     73,                  0.602,                0.33029,                0.85699,                0.91048,                0.75625,                0.86417,                0.62527,                0.84748,                0.40505,                0.94972,               0.006436,               0.006436,               0.006436
                     74,                0.59999,                0.33272,                0.85734,                0.89845,                0.76239,                0.86272,                0.62649,                0.85502,                0.40505,                0.95397,              0.0063865,              0.0063865,              0.0063865
                     75,                0.59795,                0.32552,                 0.8564,                0.88548,                0.77345,                0.86563,                0.63508,                0.83471,                0.39299,                0.94638,               0.006337,               0.006337,               0.006337
                     76,                0.59315,                0.32343,                0.85466,                0.88734,                0.77172,                0.86434,                0.63251,                0.83774,                0.39422,                0.94967,              0.0062875,              0.0062875,              0.0062875
                     77,                0.59489,                0.32614,                 0.8562,                0.90262,                0.76631,                0.86431,                0.63697,                0.83047,                0.39254,                0.94676,               0.006238,               0.006238,               0.006238
                     78,                0.60027,                0.32675,                0.85919,                0.88599,                0.77779,                0.86488,                0.62836,                0.84314,                0.39974,                0.95289,              0.0061885,              0.0061885,              0.0061885
                     79,                 0.5872,                0.32377,                0.85039,                0.90803,                0.77143,                0.86794,                0.63284,                0.83563,                0.39115,                0.94855,               0.006139,               0.006139,               0.006139
                     80,                0.58545,                0.32013,                 0.8519,                0.90854,                0.76748,                0.86849,                0.63099,                0.83413,                 0.3929,                0.94834,              0.0060895,              0.0060895,              0.0060895
                     81,                0.59014,                0.32547,                0.85191,                0.94332,                0.74662,                0.87104,                0.63393,                0.82767,                0.39136,                0.94022,                0.00604,                0.00604,                0.00604
                     82,                0.58306,                0.31879,                0.85306,                0.89846,                0.79006,                0.87634,                0.63523,                0.83664,                0.38646,                0.94259,              0.0059905,              0.0059905,              0.0059905
                     83,                0.57976,                0.32277,                0.85182,                0.89281,                 0.7724,                0.86342,                0.63516,                0.83157,                0.38427,                0.94819,               0.005941,               0.005941,               0.005941
                     84,                0.57975,                0.31709,                0.85408,                0.89192,                0.78284,                0.87032,                0.63348,                0.83382,                0.38609,                0.94623,              0.0058915,              0.0058915,              0.0058915
                     85,                 0.5841,                0.32098,                0.85382,                0.88905,                0.78457,                0.87006,                0.63196,                0.82967,                0.38965,                0.94395,               0.005842,               0.005842,               0.005842
                     86,                0.57336,                0.31513,                0.84992,                0.91738,                0.77516,                 0.8737,                0.63552,                0.82931,                0.39035,                0.94588,              0.0057925,              0.0057925,              0.0057925
                     87,                0.57259,                0.31644,                0.85117,                0.91598,                0.76992,                0.87406,                0.63622,                0.82314,                0.38956,                0.94554,               0.005743,               0.005743,               0.005743
