                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.83101,                0.43765,                0.85773,                0.86307,                0.65691,                0.79367,                0.53857,                0.90893,                0.43514,                0.89052,             0.00082675,             0.00082675,             0.00082675
                     37,                0.82599,                0.43481,                  0.856,                0.87486,                0.65765,                0.79447,                0.53516,                0.90221,                0.43179,                0.88958,              0.0008218,              0.0008218,              0.0008218
                     38,                0.82565,                0.43647,                0.85806,                0.84672,                0.67814,                0.79893,                0.54584,                0.90553,                 0.4235,                0.89174,             0.00081685,             0.00081685,             0.00081685
                     39,                0.82586,                0.43458,                0.85714,                0.83432,                0.67577,                0.79466,                0.53915,                0.90794,                0.42523,                0.89069,              0.0008119,              0.0008119,              0.0008119
                     40,                 0.8147,                0.42968,                0.85569,                0.84708,                0.68031,                 0.7996,                0.54488,                  0.899,                 0.4199,                0.88889,             0.00080695,             0.00080695,             0.00080695
                     41,                0.80695,                0.42805,                0.85539,                0.84819,                0.68016,                 0.8007,                0.54565,                 0.8966,                0.41905,                0.88514,               0.000802,               0.000802,               0.000802
                     42,                0.80993,                0.42834,                0.85592,                 0.8626,                0.67008,                0.79622,                0.54227,                0.89857,                 0.4252,                0.88706,             0.00079705,             0.00079705,             0.00079705
                     43,                0.81013,                0.42611,                 0.8548,                0.84287,                0.68094,                0.79907,                0.54738,                0.89923,                0.42051,                0.88631,              0.0007921,              0.0007921,              0.0007921
                     44,                0.80426,                0.42393,                0.85331,                0.84657,                0.67484,                 0.7961,                0.54701,                0.88965,                0.42351,                0.88404,             0.00078715,             0.00078715,             0.00078715
                     45,                0.79335,                0.41906,                0.85015,                0.86605,                0.67465,                0.80136,                0.54297,                0.89164,                0.42059,                0.88157,              0.0007822,              0.0007822,              0.0007822
                     46,                0.80712,                0.42458,                0.85465,                0.85078,                0.67731,                0.79903,                0.54877,                0.89036,                 0.4189,                0.88553,             0.00077725,             0.00077725,             0.00077725
